folder	key	title	score	year	developer	source
megadrive	bulls vs lakers and the nba playoffs	Bulls vs. Lakers and the NBA Playoffs	72	1992	Electronic Arts, Inc.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:2/
megadrive	atp tour championship tennis	ATP Tour Championship Tennis	72	1995	SIMS Co., Ltd.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:2/
megadrive	david crane s amazing tennis	David Crane's Amazing Tennis	72	1992	Imagineering Inc.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	zool	Zool	72	1993	Gremlin Interactive Limited	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	the great circus mystery starring mickey minnie	The Great Circus Mystery starring Mickey & Minnie	72	1994	Capcom Co., Ltd.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	the faery tale adventure book i	The Faery Tale Adventure: Book I	72	1991	MicroIllusions	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	twin cobra	Twin Cobra	72	1991	Toaplan Co., Ltd.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	pac attack	Pac-Attack	73	1993	Namco Limited	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	decapattack	DEcapAttack	73	1991	Vic Tokai Corporation	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	sylvester and tweety in cagey capers	Sylvester and Tweety in Cagey Capers	73	1994	Alexandria, Inc.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	bubble and squeak	Bubble and Squeak	73	1994	Fox Williams	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	lhx attack chopper	LHX: Attack Chopper	74	1992	Electronic Arts, Inc.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	the fantastic adventures of dizzy	The Fantastic Adventures of Dizzy	74	1993	The Codemasters Software Company Limited	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	aerobiz	Aerobiz	74	1992	KOEI Co., Ltd.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	phelios	Phelios	74	1990	Namco Limited	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	dragon ball z l appel du destin	Dragon Ball Z: L'Appel Du Destin	74	1994	Tose Co., Ltd.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	outrun	OutRun	74	1991	Studio 128	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	688 attack sub	688 Attack Sub	74	1991	Electronic Arts, Inc.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	muhammad ali heavyweight boxing	Muhammad Ali Heavyweight Boxing	75	1992	Park Place Productions	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	nba action 94	NBA Action '94	75	1994	Malibu Interactive	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	mcdonald s treasure land adventure	McDonald's Treasure Land Adventure	75	1993	Treasure Co., Ltd.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	aero the acro bat 2	Aero the Acro-Bat 2	75	1995	Sunsoft	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	warrior of rome ii	Warrior of Rome II	75	1992	Micronet Co. Ltd.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	australian rugby league	Australian Rugby League	75	1995	I-Space Interactive	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	ayrton senna s super monaco gp ii	Ayrton Senna's Super Monaco GP II	76	1992	SEGA Enterprises Ltd.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	after burner ii	After Burner II	76	1990	SEGA Enterprises Ltd.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	boogerman a pick and flick adventure	Boogerman: A Pick and Flick Adventure	76	1994	Interplay Entertainment Corp.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	aero the acro bat	Aero the Acro-Bat	76	1993	Sunsoft	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	columns	Columns	76	1990	SEGA Enterprises Ltd.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	abrams battle tank	Abrams Battle Tank	76	1991	Dynamix, Inc.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	arcus odyssey	Arcus Odyssey	76	1991	Wolf Team	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	battletech a game of armored combat	BattleTech: A Game of Armored Combat	76	1994	Malibu Interactive	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	animaniacs	Animaniacs	76	1994	Konami Co., Ltd.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	sunset riders	Sunset Riders	76	1993	Konami Co., Ltd.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	arnold palmer tournament golf	Arnold Palmer Tournament Golf	76	1989	SEGA Enterprises Ltd.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	fatal fury 2	Fatal Fury 2	77	1994	SNK Corporation	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	marvel land	Marvel Land	77	1991	Namco Limited	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	bio hazard battle	Bio Hazard Battle	77	1992	SEGA Enterprises Ltd.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	gleylancer	Gleylancer	77	1992	NCS Corporation	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	f 22 interceptor	F-22 Interceptor	78	1991	Lerner Research	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	saturday night slam masters	Saturday Night Slam Masters	66	1994	Capcom Co., Ltd.	https://www.mobygames.com/game/title:e/platform:genesis/sort:-critic_score/page:1/
megadrive	where in time is carmen sandiego	Where in Time Is Carmen Sandiego?	66	1992	Brøderbund Software, Inc.	https://www.mobygames.com/game/title:e/platform:genesis/sort:-critic_score/page:1/
megadrive	striker	Striker	66	1995	Rage Software Ltd.	https://www.mobygames.com/game/title:e/platform:genesis/sort:-critic_score/page:1/
